iter	Passed	Remaining
406	6445	9390
407	6460	9373
408	6476	9358
409	6492	9342
410	6506	9324
411	6520	9306
412	6535	9289
413	6551	9273
414	6565	9255
415	6580	9237
416	6595	9221
417	6611	9205
418	6627	9189
419	6642	9172
420	6658	9157
421	6673	9140
422	6689	9125
423	6705	9109
424	6720	9092
425	6735	9075
426	6750	9058
427	6766	9042
428	6782	9027
429	6798	9011
430	6817	9000
431	6832	8983
432	6847	8967
433	6864	8951
434	6879	8935
435	6893	8917
436	6909	8902
437	6924	8885
438	6940	8869
439	6956	8853
440	6971	8836
441	6987	8820
442	7002	8805
443	7019	8789
444	7035	8774
445	7049	8756
446	7064	8740
447	7080	8723
448	7095	8707
449	7111	8692
450	7126	8675
451	7141	8658
452	7156	8641
453	7170	8623
454	7185	8606
455	7200	8590
456	7216	8574
457	7233	8559
458	7248	8542
459	7263	8527
460	7280	8511
461	7295	8495
462	7310	8478
463	7329	8466
464	7345	8451
465	7360	8434
466	7374	8417
467	7389	8400
468	7404	8382
469	7419	8367
470	7435	8351
471	7450	8334
472	7466	8319
473	7483	8304
474	7498	8287
475	7512	8270
476	7528	8254
477	7543	8237
478	7557	8220
479	7571	8202
480	7586	8185
481	7601	8169
482	7616	8153
483	7631	8135
484	7647	8120
485	7661	8103
486	7676	8086
487	7691	8069
488	7707	8053
489	7722	8037
490	7737	8020
491	7752	8004
492	7767	7988
493	7782	7971
494	7797	7955
495	7813	7939
496	7830	7924
497	7845	7908
498	7863	7894
499	7879	7879
500	7895	7863
501	7909	7846
502	7924	7830
503	7940	7814
504	7956	7798
505	7971	7782
506	7987	7767
507	8003	7751
508	8018	7734
509	8034	7719
510	8050	7703
511	8066	7688
512	8080	7670
513	8096	7655
514	8112	7639
515	8128	7624
516	8144	7608
517	8160	7592
518	8176	7577
519	8192	7562
520	8208	7546
521	8223	7530
522	8239	7515
523	8256	7500
524	8271	7484
525	8285	7466
526	8301	7451
527	8316	7434
528	8332	7419
529	8347	7402
530	8364	7388
531	8384	7376
532	8401	7361
533	8418	7346
534	8434	7331
535	8448	7313
536	8466	7300
537	8481	7283
538	8497	7268
539	8514	7252
540	8530	7237
541	8544	7220
542	8559	7203
543	8573	7186
544	8589	7170
545	8604	7154
546	8619	7138
547	8634	7122
548	8650	7106
549	8665	7090
550	8680	7073
551	8696	7057
552	8711	7041
553	8727	7026
554	8742	7009
555	8757	6993
556	8773	6977
557	8788	6961
558	8805	6946
559	8821	6931
560	8837	6915
561	8853	6899
562	8868	6883
563	8882	6866
564	8897	6850
565	8918	6838
566	8933	6821
567	8948	6805
568	8963	6789
569	8979	6773
570	8996	6758
571	9011	6742
572	9027	6727
573	9044	6712
574	9060	6696
575	9074	6679
576	9090	6664
577	9105	6648
578	9121	6632
579	9136	6616
580	9151	6599
581	9166	6583
582	9182	6567
583	9198	6552
584	9214	6536
585	9231	6521
586	9247	6506
587	9263	6490
588	9279	6474
589	9294	6458
590	9310	6443
591	9324	6426
592	9340	6410
593	9356	6395
594	9372	6379
595	9388	6363
596	9402	6347
597	9416	6330
598	9434	6315
599	9451	6301
600	9466	6284
601	9482	6269
602	9498	6253
603	9513	6237
604	9528	6220
605	9543	6204
606	9559	6189
607	9575	6173
608	9592	6158
609	9609	6144
610	9626	6128
611	9640	6112
612	9655	6095
613	9672	6080
614	9689	6066
615	9706	6051
616	9723	6036
617	9741	6021
618	9759	6006
619	9776	5992
620	9795	5978
621	9813	5963
622	9831	5949
623	9852	5936
624	9871	5922
625	9888	5907
626	9904	5892
627	9921	5877
628	9939	5862
629	9959	5848
630	9976	5834
631	9998	5822
632	10016	5807
633	10033	5792
634	10051	5777
635	10068	5762
636	10085	5747
637	10102	5731
638	10118	5716
639	10136	5701
640	10153	5686
641	10170	5671
642	10187	5656
643	10201	5639
644	10216	5623
645	10233	5607
646	10247	5590
647	10263	5575
648	10278	5559
649	10293	5542
650	10309	5527
651	10325	5511
652	10341	5495
653	10357	5479
654	10373	5463
655	10388	5447
656	10404	5431
657	10420	5416
658	10434	5399
659	10450	5383
660	10465	5367
661	10483	5352
662	10499	5337
663	10516	5321
664	10532	5305
665	10548	5289
666	10565	5274
667	10582	5259
668	10598	5243
669	10614	5228
670	10631	5212
671	10648	5197
672	10664	5181
673	10681	5166
674	10696	5150
675	10712	5134
676	10730	5119
677	10746	5103
678	10763	5088
679	10780	5073
680	10799	5058
681	10817	5043
682	10834	5028
683	10850	5012
684	10866	4997
685	10884	4982
686	10900	4966
687	10916	4950
688	10932	4934
689	10948	4919
690	10965	4903
691	10981	4887
692	10996	4871
693	11016	4857
694	11034	4842
695	11052	4827
696	11068	4811
697	11085	4796
698	11100	4780
699	11117	4764
700	11133	4748
701	11148	4732
702	11164	4716
703	11182	4701
704	11198	4686
705	11216	4670
706	11232	4654
707	11249	4639
708	11265	4623
709	11281	4607
710	11299	4592
711	11316	4577
712	11332	4561
713	11349	4546
714	11365	4530
715	11382	4514
716	11398	4498
717	11415	4483
718	11434	4468
719	11451	4453
720	11466	4437
721	11481	4420
722	11498	4405
723	11515	4389
724	11534	4375
725	11550	4359
726	11566	4343
727	11580	4326
728	11595	4310
729	11610	4294
730	11626	4278
731	11645	4263
732	11660	4247
733	11676	4231
734	11692	4215
735	11708	4199
736	11724	4183
737	11739	4167
738	11754	4151
739	11770	4135
740	11787	4119
741	11803	4104
742	11819	4088
743	11834	4072
744	11849	4055
745	11869	4041
746	11898	4029
747	11929	4019
748	11967	4010
749	12002	4000
750	12051	3995
751	12082	3984
752	12117	3974
753	12137	3960
754	12156	3944
755	12179	3930
756	12213	3920
757	12246	3909
758	12267	3895
759	12297	3883
760	12314	3867
761	12331	3851
762	12352	3836
763	12368	3820
764	12385	3804
765	12402	3788
766	12420	3773
767	12438	3757
768	12466	3744
769	12486	3729
770	12505	3714
771	12522	3698
772	12539	3682
773	12562	3668
774	12579	3651
775	12598	3636
776	12617	3621
777	12634	3605
778	12650	3589
779	12668	3573
780	12686	3557
781	12706	3542
782	12725	3526
783	12742	3510
784	12761	3495
785	12781	3479
786	12797	3463
787	12816	3447
788	12835	3432
789	12852	3416
790	12868	3400
791	12883	3383
792	12899	3367
793	12915	3350
794	12931	3334
795	12946	3317
796	12962	3301
797	12979	3285
798	12993	3268
799	13009	3252
800	13025	3236
801	13040	3219
802	13056	3203
803	13071	3186
804	13089	3170
805	13105	3154
806	13122	3138
807	13141	3122
808	13162	3107
809	13177	3091
810	13193	3074
811	13208	3058
812	13223	3041
813	13240	3025
814	13256	3009
815	13272	2992
816	13287	2976
817	13303	2959
818	13319	2943
819	13334	2927
820	13350	2910
821	13367	2894
822	13383	2878
823	13398	2861
824	13413	2845
825	13428	2828
826	13442	2811
827	13457	2795
828	13472	2779
829	13487	2762
830	13503	2746
831	13518	2729
832	13534	2713
833	13551	2697
834	13567	2681
835	13583	2664
836	13599	2648
837	13615	2632
838	13632	2615
839	13647	2599
840	13662	2582
841	13677	2566
842	13693	2550
843	13708	2533
844	13724	2517
845	13739	2501
846	13753	2484
847	13770	2468
848	13785	2451
849	13799	2435
850	13815	2418
851	13831	2402
852	13847	2386
853	13862	2369
854	13879	2353
855	13895	2337
856	13911	2321
857	13927	2304
858	13943	2288
859	13957	2272
860	13974	2255
861	13988	2239
862	14004	2223
863	14018	2206
864	14032	2190
865	14047	2173
866	14063	2157
867	14077	2140
868	14093	2124
869	14108	2108
870	14124	2091
871	14141	2075
872	14157	2059
873	14173	2043
874	14192	2027
875	14215	2012
876	14235	1996
877	14252	1980
878	14271	1964
879	14298	1949
880	14323	1934
881	14339	1918
882	14354	1902
883	14369	1885
884	14385	1869
885	14401	1853
886	14419	1836
887	14433	1820
888	14449	1804
889	14465	1787
890	14481	1771
891	14497	1755
892	14512	1738
893	14526	1722
894	14541	1705
895	14556	1689
896	14571	1673
897	14585	1656
898	14600	1640
899	14615	1623
900	14631	1607
901	14647	1591
902	14661	1574
903	14677	1558
904	14691	1542
905	14707	1525
906	14722	1509
907	14738	1493
908	14754	1477
909	14769	1460
910	14784	1444
911	14800	1428
912	14816	1411
913	14832	1395
914	14846	1379
915	14861	1362
916	14878	1346
917	14894	1330
918	14910	1314
919	14927	1298
920	14946	1282
921	14962	1265
922	14980	1249
923	14997	1233
924	15014	1217
925	15030	1201
926	15044	1184
927	15059	1168
928	15074	1152
929	15089	1135
930	15105	1119
931	15121	1103
932	15137	1087
933	15151	1070
934	15168	1054
935	15184	1038
936	15198	1021
937	15213	1005
938	15228	989
939	15243	973
940	15259	956
941	15277	940
942	15293	924
943	15310	908
944	15325	891
945	15343	875
946	15359	859
947	15376	843
948	15392	827
949	15409	811
950	15427	794
951	15444	778
952	15462	762
953	15479	746
954	15494	730
955	15511	713
956	15527	697
957	15545	681
958	15562	665
959	15577	649
960	15594	632
961	15612	616
962	15627	600
963	15644	584
964	15661	568
965	15678	551
966	15694	535
967	15711	519
968	15728	503
969	15743	486
970	15760	470
971	15775	454
972	15792	438
973	15807	421
974	15823	405
975	15838	389
976	15854	373
977	15869	356
978	15884	340
979	15901	324
980	15919	308
981	15935	292
982	15953	275
983	15971	259
984	15989	243
985	16008	227
986	16024	211
987	16040	194
988	16056	178
989	16072	162
990	16088	146
991	16103	129
992	16119	113
993	16134	97
994	16150	81
995	16166	64
996	16182	48
997	16197	32
998	16212	16
999	16227	0
